filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,root_ttr_aw,log_ttr_aw,maas_ttr_aw,mattr50_aw,msttr50_aw,hdd42_aw,mtld_original_aw,mtld_ma_bi_aw,mtld_ma_wrap_aw
ch99aoc.txt,83,60,39,32,44,28,0.5333333333333333,0.46987951807228917,0.7228915662650602,6.5858555993814205,0.9265653427276926,0.03826559094392321,0.8158823529411768,0.86,0.8286761673981445,83.43304347826087,79.0,77.28915662650603
cbzvx27.txt,75,53,24,20,51,33,0.37735849056603776,0.32,0.7066666666666667,6.119912853410033,0.9195837508166729,0.0428872649408086,0.7338461538461538,0.78,0.8056607330850043,59.706564986737405,32.69,53.266666666666666
cq41u1y.txt,74,58,33,31,41,27,0.5344827586206896,0.44594594594594594,0.7837837837837838,6.742363047141518,0.9433972123139092,0.03028131134765744,0.7984000000000002,0.84,0.8505323768684749,95.83,14.0,80.01470588235294
cdpji9n.txt,91,62,39,36,52,26,0.5806451612903226,0.42857142857142855,0.6813186813186813,6.499365987675894,0.9149330363941972,0.043422749483110486,0.7638095238095234,0.84,0.7804478904189456,57.857631408875484,44.253787878787875,45.934065934065934
cn25jf2.txt,132,73,59,45,73,28,0.6164383561643836,0.44696969696969696,0.553030303030303,6.353834442382971,0.8786879970088523,0.0572071556694864,0.6722891566265063,0.63,0.7696948084329969,38.59450669433711,30.97149380300065,42.196969696969695
cg1hx3d.txt,73,48,40,29,33,19,0.6041666666666666,0.547945205479452,0.6575342465753424,5.617975065414267,0.9022812274556123,0.05244328539932719,0.725,0.66,0.7830897102554448,47.9166395575797,41.46384803921569,52.80821917808219
cdc39ux.txt,197,116,108,75,89,41,0.646551724137931,0.5482233502538071,0.5888324873096447,8.264657798597518,0.899755230949965,0.043689799355963614,0.8054054054054045,0.7733333333333334,0.8284868995875594,86.52027027027026,66.05563157136685,83.43147208121827
cng7k92.txt,80,48,39,25,41,23,0.5208333333333334,0.4875,0.6,5.366563145999495,0.8834270837780959,0.06125454761398919,0.6058064516129033,0.54,0.7139555381327529,31.92683695994954,22.34844054580897,33.1375
cicdmwf.txt,37,31,18,17,19,14,0.5483870967741935,0.4864864864864865,0.8378378378378378,5.0963686064660765,0.9510011824030875,0.031245226200771088,0.8378378378378378,0.8378378378378378,0.0,63.88666666666667,0.0,44.0
cnmc4ym.txt,64,49,27,25,37,24,0.5102040816326531,0.421875,0.765625,6.125,0.9357849740192014,0.0355529498199228,0.772,0.8,0.8233364968144846,76.45866666666667,0.0,69.0
cfo0wmm.txt,117,67,60,43,57,24,0.6417910447761194,0.5128205128205128,0.5726495726495726,6.1941521911817246,0.882935540986185,0.05660248490190235,0.7426470588235294,0.77,0.7581719736214784,52.0,54.327777777777776,52.401709401709404
cpcs4l0.txt,37,35,20,20,17,15,0.5714285714285714,0.5405405405405406,0.9459459459459459,5.753964555687506,0.984610602484143,0.009813404283184918,0.9459459459459459,0.9459459459459459,0.0,191.66,0.0,49.0
cfmowmb.txt,25,22,11,10,14,12,0.45454545454545453,0.44,0.88,4.4,0.9602863302391854,0.02840870818093278,0.88,0.88,0.0,58.33333333333334,0.0,31.0
cbq89nb.txt,40,34,17,16,23,18,0.47058823529411764,0.425,0.85,5.375872022286244,0.9559435510107197,0.027499874678701304,0.85,0.85,0.0,74.66666666666667,0.0,48.0
ccbkz0x.txt,41,36,21,19,20,17,0.5277777777777778,0.5121951219512195,0.8780487804878049,5.622255427989819,0.9649789674437054,0.021714647260621996,0.8780487804878049,0.8780487804878049,0.0,94.13600000000001,0.0,51.0
cg8hq5z.txt,61,45,31,27,30,18,0.6,0.5081967213114754,0.7377049180327869,5.761659596980319,0.9259983681196776,0.04144983768776599,0.7566666666666665,0.72,0.785210223055027,58.23280063291139,26.391304347826086,47.59016393442623
cb65bm4.txt,146,90,63,49,83,41,0.5444444444444444,0.4315068493150685,0.6164383561643836,7.448452997421311,0.9029223235095089,0.044852980525352824,0.8430927835051555,0.8200000000000001,0.8435985982861959,70.45989714410767,76.03831417624521,82.81506849315069
caiks51.txt,48,38,19,18,29,20,0.47368421052631576,0.3958333333333333,0.7916666666666666,5.484827557301445,0.9396531333497672,0.03589423415787383,0.7916666666666666,0.7916666666666666,0.8158919210607466,64.512,0.0,53.0
cc81d8w.txt,138,70,72,37,66,33,0.5285714285714286,0.5217391304347826,0.5072463768115942,5.958795715311241,0.8622440640406788,0.06437557001923586,0.655730337078652,0.6100000000000001,0.7455269813733718,38.34470727217781,32.432017543859644,38.927536231884055
cmf18c7.txt,88,52,30,25,58,27,0.4807692307692308,0.3409090909090909,0.5909090909090909,5.5432186252458715,0.8824986554070334,0.06042807491981198,0.6758974358974357,0.66,0.7196895317743607,29.092960288808662,27.964920343137255,34.625
cnnbxbb.txt,78,55,38,29,40,26,0.5272727272727272,0.48717948717948717,0.7051282051282052,6.227523687795276,0.9198074382853374,0.04238295569398705,0.7455172413793101,0.8,0.8076362234256967,65.75125628140704,47.861111111111114,63.76923076923077
chmt3h8.txt,95,61,43,36,52,25,0.5901639344262295,0.45263157894736844,0.6421052631578947,6.25846794771944,0.9027195864156248,0.049188073259694605,0.7856521739130441,0.78,0.7955968522362278,61.97610411098384,64.62516469038208,64.48421052631579
